"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.022445290E-1,-1.500000060E-2,7.395000011E-2,9.763950348E0
6.042329000E-1,-7.950000465E-3,6.405000389E-2,9.751950264E0
6.062212070E-1,0.000000000E0,5.895000324E-2,9.774000168E0
6.082097460E-1,0.000000000E0,6.900000572E-2,9.771000862E0
6.101981300E-1,1.050000079E-3,7.395000011E-2,9.757050514E0
6.121866690E-1,-1.005000062E-2,6.900000572E-2,9.762000084E0
6.141750530E-1,2.505000122E-2,5.700000376E-2,9.759000778E0
6.161636020E-1,3.000000026E-3,6.405000389E-2,9.766950607E0
6.181519100E-1,2.505000122E-2,4.695000127E-2,9.766950607E0
6.201405250E-1,3.705000132E-2,6.195000187E-2,9.750000000E0
6.221288330E-1,3.195000067E-2,5.400000140E-2,9.763950348E0
6.241172170E-1,2.505000122E-2,6.405000389E-2,9.754950523E0
6.261115460E-1,4.200000316E-2,5.400000140E-2,9.763950348E0
6.281058510E-1,4.200000316E-2,6.900000572E-2,9.762000084E0
6.300826970E-1,4.200000316E-2,8.295000345E-2,9.751950264E0
6.320710810E-1,4.905000329E-2,8.295000345E-2,9.771000862E0
6.340596200E-1,4.395000264E-2,6.405000389E-2,9.757050514E0
6.360480050E-1,4.905000329E-2,6.405000389E-2,9.759000778E0
6.380365430E-1,5.805000290E-2,5.895000324E-2,9.745050430E0
6.400249280E-1,3.900000080E-2,8.295000345E-2,9.745050430E0
6.420134660E-1,4.605000094E-2,7.605000585E-2,9.757050514E0
6.440017740E-1,5.100000277E-2,7.395000011E-2,9.754950523E0
6.459901580E-1,3.405000269E-2,8.805000782E-2,9.738000870E0
6.479786970E-1,2.505000122E-2,8.295000345E-2,9.762000084E0
6.499670810E-1,4.395000264E-2,7.605000585E-2,9.757050514E0
6.519556250E-1,4.200000316E-2,9.000000358E-2,9.730950356E0
6.539440100E-1,6.300000101E-2,7.800000161E-2,9.736050606E0
6.559325480E-1,4.395000264E-2,9.300000221E-2,9.762000084E0
6.579209330E-1,5.100000277E-2,1.050000042E-1,9.754950523E0
6.599092400E-1,3.705000132E-2,9.300000221E-2,9.750000000E0
6.618977890E-1,3.900000080E-2,1.020000055E-1,9.751950264E0
6.638864040E-1,3.405000269E-2,9.795000404E-2,9.754950523E0
